address,price,village,direction,renovation,square,lease_way,floor,area,layout
整租,简单装修,3100,顺义,1室1厅1卫,南北,60 ,胜利小区,高层/共6层,胜利
整租,精装修,4500,通州,3室2厅2卫,南北,118,晶彩亦庄,高层/共11层,马驹桥
合租 - 次卧 - 限女生,,2700,海淀,3室1厅1卫,暂无,15 ,牡丹园西里,信息,牡丹园
整租,精装修,13000,海淀,3室2厅2卫,南北,138,美丽园,低层/共6层,四季青
整租,简单装修,6300,海淀,1室1厅1卫,西南,63.,烟树园小区,高层/共11层,世纪城
整租,精装修,5200,昌平,3室2厅2卫,南北,138,龙跃苑四区,高层/共6层,回龙观
合租 - 主卧 - 男女不限,精装修,1800,朝阳,2室1厅1卫,南,20 ,奥北中心南区,低层/共31层,北苑
整租,精装修,2800,房山,1室1厅1卫,南,55 ,稻田回迁楼,中层/共19层,长阳
整租,精装修,13500,朝阳,3室2厅2卫,东南,148,万科星园,中层/共28层,北苑
整租,,3900,昌平,2室1厅1卫,南北,86 ,于辛庄,低层/共6层,沙河
整租,简单装修,6000,西城,1室1厅1卫,东南,70 ,月坛北街甲1号院,高层/共21层,月坛
合租 - 主卧 - 男女不限,精装修,3500,朝阳,2室1厅1卫,南,30 ,首开知语城,中层/共24层,望京
整租,精装修,11000,朝阳,4室2厅2卫,南,171,奥林匹克花园(一期),北共4层,东坝
合租 - 主卧 - 男女不限,,1300,昌平,3室1厅2卫,暂无,20 ,翠湖新城,信息,沙河
合租 - 主卧 - 男女不限,精装修,2100,西城,3室1厅1卫,南,30 ,木樨地北里,中层/共18层,木樨地
整租,,4300,通州,2室1厅1卫,南北,85 ,次渠锦园,中层/共23层,次渠
整租,,7000,海淀,2室2厅1卫,南北,90 ,门头馨园北区,高层/共7层,香山
整租,精装修,6300,朝阳,2室1厅1卫,南北,78 ,花家地西里一区,低层/共6层,花家地
整租,,3500,宣武,1室1厅1卫,南,35 ,世纪茶贸,中层/共15层,马连道
square,area,floor,village,address,price,renovation,layout,direction,lease_way
18 ,昌平,信息,云趣园一区,回龙观,1800,,2室1厅2卫,暂无,合租 - 主卧 - 男女不限
168,大兴,中层/共18层,林肯公园二期公寓,亦庄,12000,豪华装修,3室2厅3卫,东南,整租
57 ,西城,低层/共27层,朗琴园,广安门外,5800,简单装修,1室1厅1卫,北,整租
92 ,大兴,中层/共24层,林肯公园A区,亦庄,6500,精装修,2室1厅1卫,南北,整租
26 ,朝阳,信息,三源里南小街小区,三元桥,2400,,3室1厅1卫,暂无,合租 - 主卧 - 男女不限
28 ,朝阳,中层/共24层,南湖东园(二区),望京,3500,精装修,3室1厅1卫,南,合租 - 主卧 - 男女不限
68 ,朝阳,中层/共22层,风度柏林,大望路,7600,,1室1厅1卫,西,整租
100,朝阳,高层/共6层,嘉铭桐城D区,亚运村小营,15000,豪华装修,2室1厅1卫,南,整租
15 ,朝阳,高层/共6层,南湖中园二区,望京,1600,精装修,3室1厅1卫,南,合租 - 主卧 - 男女不限
30 ,朝阳,信息,清友园,北苑,2750,,3室1厅2卫,暂无,合租 - 主卧 - 男女不限
14 ,海淀,信息,上奥世纪中心,西二旗,2300,,2室1厅1卫,暂无,合租 - 次卧 - 男女不限
153,朝阳,低层/共16层,望京西园三区,望京,12900,精装修,3室2厅2卫,南,整租
88 ,昌平,高层/共19层,巩华家园北二村,沙河,3200,精装修,2室1厅1卫,南,整租
48 ,朝阳,中层/共6层,十里堡北里,十里堡,3900,精装修,1室1厅1卫,南,整租
20 ,朝阳,高层/共33层,大山子北里,酒仙桥,3100,精装修,3室1厅1卫,南,合租 - 主卧 - 男女不限
71 ,燕郊,中层/共24层,燕京航城,城区,1900,毛坯,2室1厅1卫,东北,整租
133,房山,中层/共6层,北潞冠家园,良乡,2800,简单装修,2室2厅2卫,南北,整租
68 ,丰台,中层/共18层,大红门锦苑小区,大红门,3800,精装修,1室1厅1卫,南,整租
98.,海淀,北共5层,观澳园小区,清河,7200,精装修,2室1厅1卫,南,整租
55 ,西城,中层/共14层,西便门东里,西便门,5300,精装修,1室1厅1卫,南,整租
15 ,昌平,信息,龙跃苑三区,霍营,1000,,5室1厅1卫,暂无,合租 - 隔断 - 男女不限
70 ,东城,北共1层,永康胡同小区,雍和宫,7300,精装修,2室1厅1卫,南,整租
20 ,海淀,中层/共20层,晨月园,世纪城,1800,精装修,3室1厅1卫,南,合租 - 主卧 - 男女不限
26 ,通州,信息,东潞苑,北关,1400,,3室2厅2卫,暂无,合租 - 主卧 - 男女不限
35 ,昌平,中层/共17层,北街家园八区,沙河,1800,精装修,1室1厅1卫,东,整租
85 ,海淀,中层/共16层,稻香园小区,中关村,8800,精装修,2室1厅1卫,南北,整租
20 ,朝阳,中层/共16层,中弘北京像素南区,常营,1899,精装修,3室1厅2卫,南,合租 - 主卧 - 男女不限
15 ,西城,低层/共6层,新街口外大街甲8号院,德胜门,1800,精装修,2室1厅1卫,南,合租 - 次卧 - 男女不限
65 ,朝阳,中层/共23层,华纺星海家园,东坝,3799,精装修,1室1厅1卫,南北,整租
25 ,朝阳,中层/共32层,天之骄子,双井,2200,精装修,3室1厅1卫,南,合租 - 主卧 - 男女不限
20 ,朝阳,中层/共6层,胜古南里,安贞,2400,精装修,2室1厅1卫,南,合租 - 主卧 - 男女不限
63.,朝阳,中层/共28层,富力城A区,双井,8300,精装修,1室0厅1卫,北,整租
20 ,昌平,信息,龙兴园北区,龙泽,1400,,3室1厅2卫,暂无,合租 - 主卧 - 限女生
75 ,朝阳,中层/共29层,朝丰家园(8号院),豆各庄,4000,精装修,2室2厅1卫,南,整租
56 ,朝阳,5层,酒仙桥一街坊,酒仙桥,4900,中等装修,2室1厅1卫,南共,整租
46 ,房山,中层/共16层,长阳金桥国际公寓,长阳,2100,精装修,1室2厅1卫,南,整租
18 ,海淀,信息,师大北路21号院,蓟门桥,2600,,3室1厅1卫,暂无,合租 - 主卧 - 男女不限
102,通州,信息,世纪星城,果园,2550,,2室1厅1卫,暂无,合租 - 主卧 - 限女生
21 ,朝阳,低层/共25层,北花园小区,国贸,1700,精装修,3室1厅2卫,南,合租 - 次卧 - 男女不限
105,朝阳,高层/共28层,美景东方,华威桥,7800,精装修,2室2厅1卫,南,整租
62 ,东城,5层,和平街十二区,和平里,5500,简单装修,2室1厅1卫,南共,整租
120,朝阳,中层/共27层,润泽公馆,来广营,9999,豪华装修,3室2厅2卫,南北,整租
21 ,朝阳,中层/共6层,甜水园东里,甜水园,2200,精装修,2室1厅1卫,南,合租 - 主卧 - 男女不限
18 ,丰台,5层,广安康馨家园(南区),卢沟桥,1700,,2室1厅1卫,南共,整租
95 ,朝阳,高层/共28层,金隅汇景苑四区,东坝,5000,精装修,3室1厅1卫,南北,整租
15 ,宣武,中层/共6层,建功北里二区,白纸坊,2000,精装修,3室1厅1卫,南北,合租 - 次卧 - 男女不限
91 ,朝阳,中层/共25层,富力城C区,双井,12000,精装修,2室1厅1卫,西北,整租
63 ,海淀,高层/共6层,定慧北里,定慧寺,5100,简单装修,2室1厅1卫,南北,整租
30 ,海淀,信息,智慧大厦,学院路,3000,,4室1厅3卫,暂无,合租 - 主卧 - 男女不限
145,昌平,中层/共15层,北街家园八区,沙河,4000,简单装修,3室1厅2卫,南北,整租
75 ,丰台,中层/共6层,祥瑞苑,大红门,4400,精装修,2室1厅1卫,南,整租
20 ,朝阳,低层/共6层,北苑南路16号院,北苑,1600,,1室1厅1卫,南,整租
88 ,顺义,中层/共6层,东兴第一社区,顺义城区,3200,精装修,2室1厅1卫,南北,整租
80 ,朝阳,高层/共28层,泛海容郡,石佛营,7000,,2室1厅1卫,南北,整租
70 ,丰台,高层/共6层,洋桥北里,西罗园,3999,中等装修,2室1厅1卫,南,整租
86 ,昌平,高层/共6层,五福家园,沙河,4800,,2室1厅1卫,南北,整租
15 ,房山,北共4层,隆港宾馆,良乡,1650,豪华装修,1室1厅1卫,南,整租
130,西城,高层/共6层,新街口西里一区,新街口,4000,精装修,4室2厅2卫,南北,整租
56 ,朝阳,5层,南三里屯小区,三里屯,7000,精装修,2室1厅1卫,东共,整租
85 ,通州,高层/共23层,融科香雪兰溪  珠江逸景  合生世界村,马驹桥,3300,精装修,2室2厅1卫,南,整租
59 ,房山,低层/共6层,北庄南里,燕山,900,简单装修,2室1厅1卫,南北,整租
96 ,房山,信息,房山长阳区天泰新景,长阳,1500,,2室1厅1卫,暂无,合租 - 主卧 - 男女不限
98 ,昌平,中层/共17层,明天第一城7号院,立水桥,5000,精装修,2室2厅1卫,东南,整租
20 ,海淀,高层/共18层,双榆树知春里小区,双榆树,2500,简单装修,1室1厅1卫,南北,整租
118,房山,高层/共6层,西潞东里,良乡,2800,简单装修,2室2厅1卫,南北,整租
20 ,昌平,信息,紫金新干线一区,回龙观,1950,,2室2厅1卫,暂无,合租 - 次卧 - 男女不限
25 ,昌平,2层,龙锦苑一区,回龙观,1400,精装修,1室0厅1卫,南共,整租
15 ,丰台,信息,长丰园一区,世界公园,800,,1室1厅1卫,暂无,合租 - 主卧 - 男女不限
20 ,通州,中层/共6层,刘庄新村(东区),北关,1100,中等装修,2室1厅1卫,南,合租 - 主卧 - 男女不限
132,朝阳,高层/共16层,首城国际中心,双井,12600,简单装修,2室1厅2卫,西,整租
80 ,朝阳,低层/共28层,泛海容郡,朝阳公园,8500,,2室1厅1卫,南,整租
100,房山,中层/共18层,稻田回迁房,长阳,3700,精装修,3室1厅1卫,南北,整租
112,通州,中层/共12层,葵花社,果园,6300,豪华装修,3室2厅1卫,南北,整租
23 ,房山,4层,东关公寓,良乡,1000,精装修,1室0厅1卫,南共,合租 - 主卧 - 男女不限
133,海淀,低层/共12层,丹青府,永定路,7800,简单装修,3室1厅2卫,南北,整租
75 ,西城,高层/共16层,车公庄大街1号院,车公庄,7800,精装修,2室1厅1卫,南,整租
20 ,昌平,中层/共6层,龙跃苑东四区,回龙观,1600,精装修,3室2厅2卫,北,合租 - 次卧 - 男女不限
43 ,西城,低层/共6层,车公庄中里小区,车公庄,4000,精装修,1室1厅1卫,南,整租
70 ,朝阳,中层/共7层,双龙南里小区,双井,5500,简单装修,2室1厅1卫,南,整租
70 ,西城,低层/共6层,时代之光名苑,西直门,5500,精装修,3室1厅1卫,南,整租
50 ,朝阳,高层/共6层,磨房北里,劲松,4700,豪华装修,1室1厅1卫,南,整租
renovation,address,village,square,area,direction,floor,layout,price,lease_way
精装修,通州北苑,天时名苑,98 ,通州,南北,高层/共12层,2室1厅1卫,5600,整租
精装修,丽泽桥,丽泽景园 周庄子家园 东大街六号院,90 ,丰台,南,高层/共27层,2室1厅1卫,6500,整租
精装修,百子湾,后现代城,126,朝阳,南,中层/共28层,3室1厅2卫,11500,整租
精装修,上地,上地佳园,12 ,海淀,南,中层/共6层,2室1厅1卫,700,合租 - 次卧 - 男女不限
精装修,四季青,中间建筑,360,海淀,南,北共2层,4室2厅3卫,35000,整租
精装修,黄村,盛嘉华苑,90 ,大兴,南北,中层/共18层,3室1厅1卫,3000,整租
,十八里店,垡头南站,18 ,朝阳,南共,3层,1室0厅1卫,1300,整租
简单装修,花家地,东湖湾(西区),100,朝阳,南北,中层/共23层,2室2厅1卫,13000,整租
豪华装修,中关村,保福寺小区,20 ,海淀,南,中层/共12层,3室1厅1卫,3000,合租 - 主卧 - 男女不限
精装修,五棵松,永定路西里小区,75 ,海淀,南北,中层/共12层,2室1厅1卫,6500,整租
精装修,北苑,奥北中心南区,15 ,朝阳,南,中层/共18层,3室1厅1卫,1200,合租 - 隔断 - 男女不限
精装修,丰台,  ,20 ,怡和世家,南,中层/共6层,3室1厅1卫,3460,合租 - 主卧 - 男女不限
精装修,望京,宝星华庭,174,朝阳,南北,高层/共15层,3室2厅2卫,21000,整租
精装修,人民大学,怡秀园,72 ,海淀,西南,中层/共19层,2室1厅1卫,6000,整租
精装修,学院路,石油大院,136,海淀,南北,高层/共14层,3室2厅2卫,8800,整租
豪华装修,苹果园,中海金石公馆,101,石景山,南北,中层/共18层,2室1厅1卫,7000,整租
精装修,上上城青年新城,东低层/共26层,85 ,  暂无信息,东,低层/共26层,2室1厅1卫,1500,整租
精装修,西二旗,上第MOMA,105,海淀,西,中层/共10层,1室1厅1卫,7300,整租
精装修,定福庄,金福家园,106,朝阳,东,中层/共18层,3室1厅1卫,6700,整租
精装修,魏公村,魏公村路8号院,18 ,海淀,南,中层/共22层,3室1厅1卫,1700,合租 - 主卧 - 男女不限
精装修,黄村,翰林庭院,85 ,大兴,南北,低层/共18层,2室1厅1卫,4400,整租
,西红门,瑞海一区(瑞海家园一区),25 ,大兴,南,中层/共6层,3室1厅1卫,1650,合租 - 主卧 - 男女不限
精装修,北苑,清友园,20 ,朝阳,东,中层/共18层,3室1厅1卫,1500,合租 - 主卧 - 男女不限
,香河,公元壹号,50 ,北京周边,南,中层/共8层,1室1厅1卫,1580,整租
精装修,国贸,双惠苑,18 ,朝阳,南,高层/共6层,3室1厅1卫,2000,合租 - 主卧 - 男女不限
,昌平县城,昌平区城北街道财神庙胡同,200,昌平,南,北共2层,8室2厅5卫,13500,整租
,玉泉营,育芳园,15 ,丰台,暂无,信息,2室1厅1卫,2700,合租 - 次卧 - 限女生
精装修,安定门,青年湖北里,63 ,东城,南,低层/共15层,2室1厅1卫,5500,整租
精装修,八角,建西苑北里,16 ,石景山,南,低层/共6层,3室1厅1卫,1600,合租 - 次卧 - 男女不限
豪华装修,亚运村小营,紫薇天悦,120,朝阳,南北,中层/共23层,2室2厅2卫,8500,整租
精装修,上庄,上庄馨瑞嘉园,70 ,海淀,南,中层/共15层,2室1厅1卫,3100,整租
,新发地,风格与林苑(西区),25 ,丰台,暂无,信息,4室2厅3卫,2000,合租 - 次卧 - 男女不限
,燕山,杰辉苑,139,房山,南,高层/共7层,3室1厅2卫,2400,整租
精装修,大望路,金港国际,18 ,朝阳,南北,高层/共6层,2室1厅1卫,2000,合租 - 主卧 - 男女不限
精装修,甘家口,阜北社区,15 ,海淀,北,高层/共6层,2室1厅1卫,2700,合租 - 次卧 - 男女不限
精装修,小汤山,金科帕提欧,97 ,昌平,南北,高层/共9层,2室2厅1卫,4000,整租
精装修,清河,强佑清河新城,150,海淀,南北,中层/共22层,3室1厅2卫,9300,整租
豪华装修,双桥,远洋一方溪语苑,90 ,朝阳,南北,高层/共11层,2室2厅1卫,5100,整租
精装修,西北旺,永旺家园(二区),17 ,海淀,南,低层/共12层,3室1厅1卫,1800,合租 - 主卧 - 男女不限
精装修,北七家,王府花园,200,昌平,东,北共3层,4室2厅3卫,9000,整租
精装修,常营,常营公元,37 ,朝阳,东,低层/共23层,1室0厅1卫,4500,整租
精装修,望京,东辛店,18 ,朝阳,南,北共3层,1室0厅1卫,1500,整租
,沙河,于辛新村,113,昌平,南,中层/共6层,3室2厅2卫,4800,整租
精装修,紫竹桥,玫瑰御园,162,海淀,南北,高层/共11层,3室2厅2卫,17900,整租
精装修,六里桥,首科花园,120,丰台,南北,中层/共25层,3室1厅1卫,7500,整租
精装修,梨园,K2海棠湾,90 ,通州,南北,高层/共26层,2室1厅1卫,4500,整租
精装修,奥林匹克公园,懿品阁,47 ,朝阳,北,中层/共21层,1室1厅1卫,4500,整租
精装修,建外大街,长安驿,79 ,朝阳,北,中层/共30层,1室1厅1卫,8000,整租
精装修,甘家口,首体南路1号院,28 ,海淀,南共,4层,1室1厅1卫,5000,整租
精装修,官园,社科院机关宿舍楼,20 ,西城,南,中层/共19层,2室1厅1卫,2400,合租 - 主卧 - 男女不限
精装修,酒仙桥,远洋邦舍,41 ,朝阳,南共,5层,1室1厅1卫,5940,整租
精装修,双桥,艺水芳园,65 ,朝阳,南,低层/共15层,1室1厅1卫,4900,整租
精装修,金融街,丰汇园,41 ,西城,北,高层/共10层,1室1厅1卫,8500,整租
精装修,科技园区,天龙华鹤,150,丰台,南,高层/共30层,3室2厅1卫,8500,整租
精装修,西红门,瑞海三区(瑞海家园三区),124,大兴,南北,高层/共6层,3室2厅2卫,5200,整租
,西红门,瑞海一区(瑞海家园一区),20 ,大兴,暂无,信息,3室2厅2卫,1750,合租 - 主卧 - 男女不限
精装修,运河大街,中上园,250,通州,南北,中层/共11层,2室1厅1卫,2500,整租
精装修,西三旗,金榜园,15 ,海淀,南,中层/共6层,1室1厅1卫,1600,合租 - 次卧 - 男女不限
,陶然亭,太平街17号院,28 ,宣武,暂无,信息,2室1厅1卫,3200,合租 - 主卧 - 男女不限
精装修,科技园区,怡海花园,140,丰台,南北,中层/共6层,3室2厅2卫,8000,整租
简单装修,紫竹桥,华澳中心公寓,107,海淀,东北,低层/共21层,1室1厅1卫,9500,整租
,北苑,佳兴园,80 ,朝阳,东北,低层/共18层,2室2厅1卫,6400,整租
精装修,立水桥,卢卡新天地,23 ,昌平,南,中层/共26层,3室1厅1卫,1800,合租 - 次卧 - 男女不限
,八里桥,通州区,28 ,通州,暂无,信息,1室1厅1卫,1600,合租 - 主卧 - 男女不限
精装修,清河,清景园,100,海淀,南,低层/共6层,2室1厅1卫,5999,整租
,双桥,咸宁侯,20 ,朝阳,南共,5层,1室1厅1卫,1300,整租
,双桥,咸宁侯村南口,20 ,朝阳,暂无,信息,1室1厅1卫,900,合租 - 主卧 - 男女不限
精装修,亦庄,鹿海园三里,18 ,大兴,南,低层/共6层,2室1厅1卫,1380,合租 - 主卧 - 男女不限
豪华装修,团结湖,富力爱丁堡公馆,97 ,朝阳,北,中层/共22层,1室1厅2卫,16000,整租
,酒仙桥,邦舍,40 ,朝阳,南,北共5层,1室1厅1卫,5611,整租
精装修,三元桥,凤凰城,103,朝阳,西北,低层/共38层,2室2厅1卫,18000,整租
精装修,四季青,德顺园,25 ,海淀,南,中层/共6层,3室1厅1卫,2000,合租 - 主卧 - 男女不限
精装修,安贞,胜古南里,45 ,朝阳,南,高层/共6层,1室1厅1卫,4700,整租
精装修,马连道,欧园北欧印象,38 ,宣武,南,高层/共26层,1室1厅1卫,3500,整租
精装修,马连洼,万树园,30 ,海淀,南,中层/共6层,3室2厅2卫,2700,合租 - 主卧 - 男女不限
精装修,北苑,旭辉奥都,110,朝阳,南北,中层/共25层,2室1厅1卫,5300,整租
,沙河,恒大城5号院,92 ,昌平,南,中层/共22层,3室2厅1卫,3800,整租
,西直门,迈豪时代,23 ,西城,暂无,信息,3室1厅1卫,2000,合租 - 主卧 - 男女不限
精装修,西红门,瑞海三区(瑞海家园三区),22 ,大兴,南,中层/共6层,3室2厅2卫,1700,合租 - 主卧 - 男女不限
精装修,崇文门,崇文门东大街社区,21 ,崇文,南,中层/共6层,2室1厅1卫,1970,合租 - 主卧 - 男女不限
,马驹桥,正规精装公寓,38 ,通州,南,低层/共6层,1室0厅1卫,2600,整租
精装修,百子湾,金泰先锋,100,朝阳,南北,高层/共21层,2室2厅1卫,7500,整租
简单装修,石门,前进花园石门苑,92 ,顺义,南北,高层/共6层,2室1厅1卫,3300,整租
精装修,学院路,富润家园,55 ,海淀,南北,中层/共25层,1室1厅1卫,4500,整租
精装修,通州周边,次渠嘉园八区,50 ,通州,南北,中层/共27层,2室1厅1卫,3500,整租
精装修,马连洼,裕和嘉园,17 ,海淀,北,低层/共9层,3室1厅1卫,1900,合租 - 次卧 - 男女不限
精装修,CBD ,水碓子北里,40 ,朝阳,南,中层/共6层,1室0厅1卫,3200,整租
精装修,定慧寺,诚品建筑,254,海淀,南,高层/共12层,4室2厅2卫,25000,整租
,右安门,世纪金色嘉园,138,丰台,南,高层/共24层,2室2厅1卫,9400,整租
中等装修,四惠,爱这城一期,15 ,朝阳,东共,1层,1室1厅1卫,3000,合租 - 主卧 - 男女不限
精装修,通州周边,次渠嘉园四区,50 ,通州,南北,中层/共27层,1室1厅1卫,2600,整租
精装修,太阳宫,火星园,94 ,朝阳,南北,中层/共24层,2室1厅1卫,12000,整租
精装修,玉泉营,三环新城8号院,99 ,丰台,南,高层/共22层,2室1厅1卫,5400,整租
精装修,学院路,富润家园,103,海淀,南,低层/共20层,2室1厅1卫,7500,整租
精装修,鲁谷,紫御国际,80 ,石景山,北,低层/共24层,2室1厅1卫,7000,整租
精装修,北关,华龙小区二期,80 ,通州,南,中层/共31层,2室1厅1卫,4500,整租
豪华装修,广安门外,荣丰2008,87 ,西城,南,低层/共26层,2室2厅1卫,4300,整租
精装修,五里坨,新河小区,16 ,石景山,南,中层/共6层,3室1厅1卫,1480,合租 - 主卧 - 男女不限
精装修,东高地,三角地,70 ,丰台,南北,中层/共6层,2室1厅1卫,3600,整租
简单装修,霍营,华龙苑中里(北区),65 ,昌平,南,中层/共6层,1室1厅1卫,3900,整租
精装修,回龙观,朱辛庄南区,12 ,昌平,南,中层/共6层,2室1厅1卫,600,合租 - 次卧 - 男女不限
精装修,玉泉营,三环新城7号院,54 ,丰台,西,中层/共18层,1室1厅1卫,4700,整租
简单装修,东直门,万国城MOMA,66 ,东城,南北,中层/共18层,1室1厅1卫,2600,整租
,菜户营,金泰城丽湾,48 ,丰台,北,中层/共18层,1室0厅1卫,4500,整租
精装修,牡丹园,牡丹园东里,65 ,海淀,南,中层/共6层,2室1厅1卫,7000,整租
renovation,village,layout,price,floor,address,square,direction,lease_way,area
精装修,小悦中心,2室1厅2卫,6500,中层/共12层,朝青板块,76 ,东,整租,朝阳
精装修,新海北里北区,2室1厅1卫,3600,中层/共6层,马驹桥,86 ,南,整租,通州
精装修,泛海容郡,3室2厅3卫,50000,低层/共25层,朝阳公园,209,南北,整租,朝阳
精装修,兴隆都市馨园,1室0厅1卫,4700,中层/共7层,崇文门,29 ,西,整租,崇文
精装修,泰中花园,3室2厅2卫,6500,高层/共18层,黄村,136,南,整租,大兴
精装修,梵谷水郡,3室1厅1卫,2600,中层/共24层,酒仙桥,17 ,南,合租 - 次卧 - 男女不限,朝阳
精装修,厂洼小区,3室1厅1卫,7000,中层/共19层,厂洼,98 ,南北,整租,海淀
,左家庄北里,3室1厅1卫,2000,信息,左家庄,22 ,暂无,合租 - 次卧 - 男女不限,朝阳
豪华装修,南岸一号,9室4厅6卫,120000,北共4层,高碑店,130,南,整租,朝阳
豪华装修,东恒时代,2室2厅1卫,8000,高层/共26层,四惠,96 ,南北,整租,朝阳
精装修,卢卡新天地,3室1厅1卫,1800,中层/共26层,立水桥,23 ,南,合租 - 次卧 - 男女不限,昌平
,龙湖蔚澜香醍,3室2厅2卫,1800,信息,果园,186,暂无,合租 - 次卧 - 限女生,通州
,通州区,1室1厅1卫,1600,信息,八里桥,28 ,暂无,合租 - 主卧 - 男女不限,通州
,邦舍,1室1厅1卫,5611,北共5层,酒仙桥,40 ,南,整租,朝阳
精装修,北营房小区,3室1厅1卫,1990,5层,阜成门,28 ,南共,合租 - 次卧 - 限女生,西城
豪华装修,芳群园二区,2室1厅1卫,5000,中层/共22层,方庄,95 ,南北,整租,丰台
精装修,天资华府,3室2厅2卫,1250,中层/共18层,长阳,20 ,南,合租 - 主卧 - 男女不限,房山
精装修,金泉家园,2室1厅1卫,4000,低层/共26层,亚运村,30 ,南,合租 - 主卧 - 男女不限,朝阳
精装修,强佑清河新城,1室1厅1卫,5200,低层/共27层,清河,62 ,北,整租,海淀
精装修,万年花城二期,2室1厅1卫,6500,高层/共27层,玉泉营,75.,西北,整租,丰台
精装修,融泽嘉园二号院(西区),4室1厅1卫,8000,高层/共32层,龙泽,120,南北,整租,昌平
精装修,远洋山水,1室1厅1卫,4650,高层/共26层,鲁谷,71 ,南,整租,石景山
简单装修,领秀硅谷3区,4室2厅4卫,31000,北共3层,西二旗,316,南,整租,海淀
简单装修,田家园小区,2室1厅1卫,1800,中层/共6层,窦店,92 ,南北,整租,房山
,太平街17号院,2室1厅1卫,3200,信息,陶然亭,28 ,暂无,合租 - 主卧 - 男女不限,宣武
豪华装修,承泽园,3室1厅1卫,2100,中层/共12层,西苑,15 ,南,合租 - 主卧 - 男女不限,海淀
,咸宁侯村南口,1室1厅1卫,900,信息,双桥,20 ,暂无,合租 - 主卧 - 男女不限,朝阳
豪华装修,悠唐麒麟公馆,1室1厅1卫,11000,中层/共28层,东大桥,75 ,南,整租,朝阳
精装修,怡丽南园,3室2厅1卫,12000,中层/共6层,世纪城,120,南北,整租,海淀
,望春园,2室1厅1卫,900,信息,北苑,12 ,暂无,合租 - 隔断 - 男女不限,朝阳
精装修,珠江帝景E区,2室1厅2卫,12500,高层/共15层,大望路,114,南,整租,朝阳
中等装修,民旺园19号院,3室1厅1卫,8800,中层/共6层,和平里,103,南,整租,东城
精装修,中国铁建国际花园(2号院),3室1厅1卫,3400,高层/共18层,长阳,88 ,南北,整租,房山
精装修,天天朝阳,1室0厅1卫,4500,中层/共16层,甘露园,38 ,东,整租,朝阳
,天宫院小区,2室1厅1卫,4000,中层/共15层,黄村,90 ,南,整租,大兴
豪华装修,太阳公元,2室2厅2卫,18000,低层/共25层,太阳宫,137,南北,整租,朝阳
,佳兴园,2室2厅1卫,6400,低层/共18层,北苑,80 ,东北,整租,朝阳
豪华装修,倚林佳园,4室2厅2卫,24000,高层/共10层,奥林匹克公园,200,南北,整租,朝阳
精装修,魔方公寓,1室1厅1卫,4800,中层/共7层,太阳宫,25 ,南,整租,朝阳
精装修,南方庄小区,1室1厅1卫,3999,中层/共6层,方庄,40 ,东,整租,丰台
精装修,远洋天地,2室1厅1卫,9800,高层/共30层,四惠,120,东南,整租,朝阳
,百环家园,2室1厅1卫,8400,中层/共28层,双井,110,西南,整租,朝阳
price,address,floor,direction,renovation,village,lease_way,layout,square,area
8000,五道口,中层/共6层,南,豪华装修,地质大学家属院,整租,3室2厅1卫,98 ,海淀
3300,武夷花园,低层/共28层,南北,精装修,荔景园,整租,2室1厅1卫,98 ,通州
1600,回龙观,中层/共6层,南,精装修,龙跃苑东五区,合租 - 次卧 - 男女不限,3室2厅2卫,18 ,昌平
1700,菜户营,低层/共25层,南,精装修,鹏润家园,合租 - 主卧 - 男女不限,5室2厅2卫,15 ,丰台
9800,朝青板块,中层/共29层,东南,简单装修,朝阳园,整租,2室1厅2卫,125,朝阳
4600,管庄,高层/共6层,南北,精装修,管庄西里,整租,2室1厅1卫,72 ,朝阳
6500,洋桥,中层/共18层,东,精装修,东丽温泉家园,整租,2室1厅1卫,117,丰台
1500,回龙观,中层/共6层,南,精装修,和谐家园二区,合租 - 次卧 - 男女不限,3室2厅2卫,20 ,昌平
8000,三里河,中层/共25层,南北,精装修,远见名苑(二期),整租,2室2厅1卫,90 ,西城
4700,大红门,中层/共12层,南北,精装修,益丰园,整租,2室1厅1卫,80 ,丰台
9000,中央别墅区,低层/共14层,南,精装修,中粮祥云 艾迪城 海航国兴城,整租,2室2厅2卫,156,顺义
1600,黄村,中层/共6层,南,精装修,丽园C区,合租 - 次卧 - 男女不限,3室1厅1卫,15 ,大兴
2200,密云城区,低层/共18层,南北,精装修,华远澜悦,整租,3室2厅1卫,88 ,密云
1900,回龙观,高层/共6层,北,精装修,龙跃苑东四区,合租 - 次卧 - 男女不限,1室0厅0卫,18 ,昌平
5800,草桥,中层/共26层,东,精装修,玺萌鹏苑,整租,2室1厅1卫,92 ,丰台
2800,昌平县城,中层/共6层,南,精装修,昌盛园二区,整租,2室1厅1卫,120,昌平
2800,石门,中层/共6层,南北,简单装修,西辛南区,整租,2室1厅1卫,72 ,顺义
550,南磨房,低层/共26层,南北,精装修,百环家园,合租 - 男女不限,4室1厅1卫,18 ,朝阳
8500,其他,低层/共16层,东西,精装修,橡树湾,整租,3室1厅1卫,97.,北京周边
2000,燕山,高层/共6层,南北,精装修,迎风六里二区,整租,2室1厅1卫,93 ,房山
3777,卢沟桥,低层/共28层,南,精装修,广安康馨家园(南区),整租,1室1厅1卫,56 ,丰台
1480,西二旗,低层/共28层,南,精装修,智学苑,合租 - 次卧 - 男女不限,4室2厅2卫,20 ,海淀
